EOGh_mean,EOGh_mav,EOGh_rms,EOGh_std,EOGh_max,EOGh_min,EOGh_ptp,EOGh_wl,EOGv_mean,EOGv_mav,EOGv_rms,EOGv_std,EOGv_max,EOGv_min,EOGv_ptp,EOGv_wl,label
157.13555298069855,164.44391544140692,194.39309082319673,114.44252596498248,260.7829054683963,-49.24735927678149,310.03026474517776,640.643479904244,0.022446335038475276,7.938440658467146,10.355487897215244,10.35546357008776,34.807561195091274,-17.636503175081145,52.44406437017242,408.7294161439737,1
-41.25313341721298,41.62833265056262,46.61302391563077,21.70145114550619,5.936844868314733,-73.71628366026185,79.65312852857659,481.7623640590519,77.18841679266413,82.73220205713136,174.81332227145225,156.8491184438873,660.6946197708078,-38.41405480454935,699.1086745753571,1618.0253418082818,3
-49.898147693290994,49.898147693290994,51.911724257711434,14.317889934874625,-8.89494318828558,-73.71628366026185,64.82134047197627,414.1839044761806,5.9872396829517065,25.078999562772697,28.851919013914035,28.223858555561513,54.868133494520904,-50.77920119746335,105.64733469198426,400.40048973888395,3
-47.32227654949055,47.32227654949055,48.79538713390767,11.899241476726928,-8.89494318828558,-72.2832385868909,63.38829539860532,411.48236551634534,-35.57130533014006,40.14631859320339,45.75652983328562,28.78093569525331,21.67737088807864,-88.17876833016767,109.85613921824631,414.95701260592017,3
104.25761269983197,113.69324547251304,119.04689182636244,57.46749209465711,153.37093272416698,-45.65334652749076,199.02427925165773,552.13535231922,-52.34070364220119,52.34070364220119,53.09556214831297,8.921292624089446,-35.076023695899465,-76.3011051767075,41.22508148080803,373.8242654437653,1
-3.859579481113669,18.76714188950855,22.123891189833387,21.784632372582138,48.7726789703189,-33.3975901679041,82.170269138223,446.29846300771806,74.23290201178746,83.97038454179426,171.69042910515535,154.813047593608,606.0504957426136,-28.49774572794005,634.5482414705536,1466.315772577218,3
1.1207870399362037,17.09392669878413,20.142409815120004,20.11120358336004,43.21799337810287,-33.3975901679041,76.61558354600697,477.4402903692945,28.701636688451476,28.90363438528558,31.77939938794171,13.643543413001112,57.65513699121283,-5.5634627373876615,63.21859972860049,404.72732637363265,3
10.942674086727866,17.002300325894687,19.770714507269215,16.466300008186415,43.21799337810287,-28.242924084418362,71.46091746252122,472.7129000077455,40.2430887858067,40.2430887858067,41.655017479858984,10.753338375827145,64.90365888958036,16.11173697098019,48.79192191860017,408.76629356089643,3
-104.85615688890906,104.87991932191903,114.13122079039205,45.067970018558746,1.3698071890883412,-167.98252685695678,169.35233404604512,540.1877222829595,-4.711870468159269,14.552100016255892,17.14556480281888,16.485407762592654,33.11607505988438,-34.19065049926165,67.30672555914603,428.7968513407626,1
42.546863272504964,42.546863272504964,44.39988216062658,12.693067460164828,72.34695906531877,11.110398930969364,61.2365601343494,459.0938992684114,48.83305328598934,88.95607489047772,180.29394285648266,173.55471395932858,652.5370648386744,-54.883524312473114,707.4205891511475,1700.509935563259,3
29.25404559187663,31.099575424723785,35.33654448621374,19.82100382762099,62.50423646826993,-19.03293400475049,81.53717047302042,410.5936947915984,-26.900329856759743,27.6798125247793,29.190033853001612,11.332710617363366,20.800294420060627,-45.3651264839201,66.16542090398073,527.248685502355,3
-3.7292716015798764,21.592062538441425,25.247685096767142,24.970745604950753,44.36592037274815,-41.730629327016885,86.09654969976503,346.60534382579044,-37.18614268393645,37.18614268393645,38.85782857352948,11.274823002589596,-9.025601159247998,-62.103896411996736,53.07829525274874,443.241401324127,3
15.125511537790462,35.83725127536782,45.26596949800636,42.66411718663133,95.34156613072598,-62.75242057034465,158.09398670107063,566.1109572057112,-107.19229539212668,107.19229539212668,112.0361076391127,32.586825919225426,-47.61908943943237,-156.42574701284366,108.80665757341129,404.12508972421983,1
0.5698351318222956,18.600508126495676,26.550765185114884,26.544649551984097,87.24570098232597,-30.129479066767452,117.37518004909342,458.9243451279332,-25.718441550135253,35.14090861319027,46.78301756986832,39.07956623575657,24.900038889766154,-110.15642874354579,135.05646763331194,580.694331653885,2
-13.372967079698757,25.55903373309957,33.108631494810474,30.287707588136307,43.73185501279648,-76.9756131782054,120.70746819100188,579.5761753232904,123.41227094620191,123.41227094620191,213.80224396691804,174.58754510328276,704.6298804119913,0.3358511827199469,704.2940292292714,1615.0088599169455,3
-4.056459854756771,19.95758867429889,23.40263057747297,23.04838934486355,43.73185501279648,-52.273856299733716,96.0057113125302,509.54082697873264,21.57778861158441,23.887755615767738,32.21072638717118,23.915056617599376,78.35404429799677,-19.89760829273265,98.2516525907294,408.5853307927183,3
-0.7580892242802628,22.551492898565925,27.115430100083152,27.10483075469252,62.55284502249355,-52.52064902996201,115.07349405245556,521.9822992593095,24.663798441191602,29.27981779210233,34.382785834656026,23.9556466872447,99.14874139150764,-30.397657410615736,129.54639880212338,562.4463881939414,1
56.02939678034625,56.28232749642579,64.75271456070382,32.459524633156754,119.50676775053715,-7.654978112470788,127.16174586300794,451.19134901492475,-28.437025229590482,42.25811620320363,43.42651003740095,32.82068509522797,46.32574164882737,-63.41947057429798,109.74521222312535,467.5974116415283,2
79.07351068433428,79.07351068433428,80.31216853012835,14.050776564525242,125.8679309579473,48.55231700031016,77.31561395763714,530.2586827806401,61.021472459419435,106.64333105444683,203.3819717209251,194.01187159546575,671.7197402879766,-64.61109693006496,736.3308372180416,1664.4108034792123,3
58.022872843567214,58.923795968637364,63.287965977058164,25.272769228806354,102.34086467844959,-24.353778265327925,126.69464294377752,439.80640821620216,-27.045480239760263,27.096561762330452,28.70534371615035,9.619706672402723,4.293462321803843,-45.43359834182406,49.7270606636279,392.88938901513126,3
