time_s,EAR,below_threshold
0.002000093460083008,0.30414504405793064,0
0.03584408760070801,0.3192937344686184,0
0.06299781799316406,0.31495143584937413,0
0.11774563789367676,0.3180239276041471,0
0.15572142601013184,0.316060598278143,0
0.1862637996673584,0.3089128015777275,0
0.21427440643310547,0.31082899574163125,0
0.24632024765014648,0.32109003874809516,0
0.27445173263549805,0.3215661773094819,0
0.3084840774536133,0.30246733114236224,0
0.33854150772094727,0.30832674437415825,0
0.3726155757904053,0.30706109734767917,0
0.40221428871154785,0.30740953797932596,0
0.43611669540405273,0.29812044459652154,0
0.46416211128234863,0.30676675219924276,0
0.5163800716400146,0.30308284653397743,0
0.5519528388977051,0.3022427181674138,0
0.5807449817657471,0.2801524657631876,0
0.6077332496643066,0.2851967459724428,0
0.6468102931976318,0.08984593789256859,1
0.6780495643615723,0.07800336821807533,1
0.7079734802246094,0.08012999006181243,1
0.7360672950744629,0.07404543617375599,1
0.7717180252075195,0.06660305070175732,1
0.8022747039794922,0.07137480421864177,1
0.8358139991760254,0.08330015487297392,1
0.8624048233032227,0.08458149295285274,1
0.9215395450592041,0.11236928998012612,1
0.9626264572143555,0.11459850132704291,1
0.9919705390930176,0.24710155759418245,0
1.021444320678711,0.2544587064049562,0
1.0469820499420166,0.2915944059613671,0
1.0748541355133057,0.29403768944204095,0
1.1078975200653076,0.29390871771511606,0
1.1357941627502441,0.29041662118069045,0
1.172353982925415,0.2968230602695251,0
1.201007604598999,0.293075290362007,0
1.2361032962799072,0.2907391292232331,0
1.2646570205688477,0.29147922038142293,0
1.3172893524169922,0.2846470661248438,0
1.350132942199707,0.27848192773234054,0
1.3814072608947754,0.29994453319275677,0
1.4100723266601562,0.30015099809663626,0
1.4443352222442627,0.29415675454695367,0
1.4785783290863037,0.29782757460134096,0
1.5083308219909668,0.29379402591443154,0
1.5353715419769287,0.2872574518584186,0
1.572486162185669,0.28719204339360593,0
1.6000065803527832,0.28790986284183706,0
1.6370742321014404,0.29423012632985496,0
1.6647491455078125,0.29953610207588316,0
1.7162528038024902,0.2886975478174025,0
1.7477812767028809,0.28704493285840765,0
1.7802011966705322,0.2812765898797876,0
1.8087050914764404,0.28600661744053224,0
1.84548020362854,0.30946069551311883,0
1.8791751861572266,0.3043690515128528,0
1.908050775527954,0.2903794471210179,0
1.9342436790466309,0.2963592249168573,0
1.971665382385254,0.3082257111448858,0
1.9991178512573242,0.3075085477797979,0
2.035884141921997,0.2905167625380678,0
2.065765857696533,0.29717143635176146,0
2.1192970275878906,0.276719558118106,0
2.1532020568847656,0.2715383535531213,0
2.181230306625366,0.0933194874998568,1
2.2076258659362793,0.08867259992578846,1
2.2446866035461426,0.07101807413597455,1
2.2741358280181885,0.07248649455863866,1
2.3072171211242676,0.10261199877402177,1
2.3352909088134766,0.09630427145904351,1
2.372945547103882,0.0751013163737036,1
2.4039015769958496,0.09188323436683551,1
2.4360015392303467,0.08299780216922009,1
2.461178779602051,0.07040352503675229,1
2.5164756774902344,0.07487381623552157,1
2.5521109104156494,0.08053004982512009,1
2.5808329582214355,0.2712706214539634,0
2.6078598499298096,0.26604928102593833,0
2.6438915729522705,0.27409299083094296,0
2.6715087890625,0.27528375880452,0
2.7081615924835205,0.26975596275731034,0
2.7392821311950684,0.2678229154862695,0
2.7717671394348145,0.28452186001737745,0
2.798741340637207,0.28702252608765644,0
2.838683605194092,0.2713810769781387,0
2.8717875480651855,0.27147488512325046,0
2.9155662059783936,0.2875734009385304,0
2.9457921981811523,0.2817060908760595,0
2.9799399375915527,0.28613252113268184,0
3.0076074600219727,0.287844904303816,0
3.045297861099243,0.27522086564834236,0
3.074479579925537,0.2846761878836275,0
3.107654094696045,0.2825441305506306,0
3.136930227279663,0.2823213869892769,0
3.171888589859009,0.2830373768472231,0
3.2000198364257812,0.27920515534291623,0
3.2361161708831787,0.258075907761833,0
3.263143539428711,0.26117381762688835,0
3.319780111312866,0.11413128733531284,1
3.356627941131592,0.10211763128942637,1
3.385719060897827,0.05192261065064195,1
3.41027569770813,0.05748311721185782,1
3.4446356296539307,0.06145346624897517,1
3.4727518558502197,0.05762476539791665,1
3.507957935333252,0.06417688438914267,1
3.5360076427459717,0.08019920417673282,1
3.5737948417663574,0.07868380619190138,1
3.606464147567749,0.06629820751263643,1
3.6361188888549805,0.08504222747743584,1
3.6616880893707275,0.09276710725436425,1
3.7165799140930176,0.2143898235283514,0
3.751124382019043,0.22358998055405604,0
3.7807457447052,0.2662085573835132,0
3.807892322540283,0.267425470332211,0
3.844849109649658,0.26499827505099105,0
3.872774124145508,0.2613300288609264,0
3.9083311557769775,0.2444338542075761,0
3.937441825866699,0.2398337908212359,0
3.972086191177368,0.2550169361315606,0
4.0014119148254395,0.25797977690444907,0
4.036417245864868,0.26621272159861686,0
4.064581394195557,0.26600379564455456,0
4.117400884628296,0.25902976053179555,0
4.156500339508057,0.2581052213346509,0
4.182355165481567,0.25852536950523725,0
4.208027601242065,0.2586067956839251,0
4.248145341873169,0.27351871375332953,0
4.283829689025879,0.26392482404280776,0
4.3163862228393555,0.27218960594875474,0
4.341900825500488,0.27458721692411503,0
4.372462034225464,0.2798767070831638,0
4.400042295455933,0.27597452720358784,0
4.436349868774414,0.2613477272549144,0
4.46489691734314,0.26498544261905604,0
4.517795085906982,0.0835733447801193,1
4.548316240310669,0.08760840082526644,1
4.579638719558716,0.07385327041929854,1
4.607647895812988,0.0787546889783707,1
4.64477014541626,0.08489138000339713,1
4.671804666519165,0.0987328996860033,1
4.708287000656128,0.08213793376463192,1
4.737380266189575,0.08435412224849526,1
4.7729856967926025,0.08197530265973492,1
4.804054498672485,0.08349022314430006,1
4.836230278015137,0.054751766571272495,1
4.866576671600342,0.06784398435345355,1
4.916808128356934,0.20365813891543055,1
4.9503796100616455,0.18593136420362383,1
4.980892181396484,0.2669179940884534,0
5.00767970085144,0.2574805340205445,0
5.045153856277466,0.27461492715146685,0
5.074171543121338,0.2812583521583795,0
5.107730150222778,0.273290846318221,0
5.1351354122161865,0.2695655029570006,0
5.17171049118042,0.2641531904965422,0
5.201907157897949,0.257170791226653,0
5.236935377120972,0.2557258966644794,0
5.264513254165649,0.2700743675883297,0
5.316535472869873,0.2678114759494843,0
5.351839065551758,0.26688806884442984,0
5.379741191864014,0.27592643562582075,0
5.405684471130371,0.28127906100864997,0
5.4457714557647705,0.28101271984151166,0
5.479369878768921,0.2757456647168368,0
5.508854866027832,0.25787369442264835,0
5.536771297454834,0.25870684756123663,0
5.571872234344482,0.0640851235729203,1
5.6024134159088135,0.06488620842401573,1
5.63609504699707,0.08029170821606707,1
5.665531396865845,0.08024207275109903,1
5.720570802688599,0.09818806332211498,1
5.752183437347412,0.09029128643200715,1
5.780234098434448,0.079099588717494,1
5.807803392410278,0.08937585870193111,1
5.844123125076294,0.08644163218515429,1
5.87271523475647,0.10112749214921626,1
5.908284902572632,0.16128998416624993,1
5.941415548324585,0.1643563679343079,1
5.973039865493774,0.25240300084754386,0
6.0015459060668945,0.24585295108013425,0
6.036105394363403,0.2718381216526976,0
6.066559314727783,0.267509026714726,0
6.116961717605591,0.2871866395786284,0
6.150447130203247,0.28267264814946524,0
6.181130886077881,0.2631216028986613,0
6.210301160812378,0.26550228932519016,0
6.244379281997681,0.27324186805564704,0
6.274969816207886,0.26877609518607315,0
6.308147668838501,0.2621301138667482,0
6.336242437362671,0.2677677625414441,0
6.371596574783325,0.2766460833778121,0
6.400801420211792,0.2789750403913569,0
6.4374284744262695,0.2759181714579729,0
6.466446876525879,0.2772388378514645,0
6.518540382385254,0.27346791288401084,0
6.550086975097656,0.27597094779998144,0
6.5796873569488525,0.2770788317686377,0
6.608718395233154,0.2701062977778393,0
6.646118879318237,0.2807599113742067,0
6.675265789031982,0.2845204926145616,0
6.70808219909668,0.2622788443816434,0
6.735202312469482,0.267977792650104,0
6.771666049957275,0.24111748332827157,0
6.800750970840454,0.23354084244418086,0
6.835825681686401,0.08257442913607843,1
6.86636757850647,0.0833591697482034,1
6.919683933258057,0.08945721914301288,1
6.9587719440460205,0.0868879539520862,1
6.988680124282837,0.08079897117800607,1
7.014573574066162,0.09123546669603583,1
7.044317960739136,0.10698821200315674,1
7.072941064834595,0.10797511425782462,1
7.10805869102478,0.09026511534095798,1
7.143808841705322,0.09541659584067541,1
7.172909498214722,0.09923252727574688,1
7.2004969120025635,0.0890304003372237,1
7.236154317855835,0.07110269747251968,1
7.263143539428711,0.07960720859667789,1
7.317777633666992,0.07765831426906686,1
7.356337070465088,0.06542295392020439,1
7.383255481719971,0.1882467963220844,1
7.409508228302002,0.19148938652029152,1
7.4453771114349365,0.24800373688162092,0
7.476456165313721,0.24206060834451826,0
7.507715940475464,0.2601806537237761,0
7.537312746047974,0.2595856818621121,0
7.571583032608032,0.2669203088138178,0
7.599712610244751,0.26970351731909614,0
7.636587619781494,0.2795835492756956,0
7.66834831237793,0.2764513977815585,0
7.717341423034668,0.27241375819774116,0
7.758906841278076,0.26581917411597983,0
7.79251766204834,0.2713758371988416,0
7.821295261383057,0.2735768773174401,0
7.851264238357544,0.273470132051562,0
7.879709959030151,0.27159303447666994,0
7.907722234725952,0.2657186115327024,0
7.9358086585998535,0.2620600178152823,0
7.971682786941528,0.2718898183393772,0
7.998911619186401,0.2713693290826509,0
8.035401582717896,0.1657624074303266,1
8.061516523361206,0.17715724430487545,1
8.120774507522583,0.1015074497256249,1
8.159705877304077,0.10550637032457061,1
8.189281225204468,0.08705131349011476,1
8.217681884765625,0.09066985348277279,1
8.245808839797974,0.0898867342124323,1
8.27893352508545,0.08683638367155384,1
8.30750298500061,0.08863013389435635,1
8.33520245552063,0.08264973496299595,1
8.37378454208374,0.08904211876321164,1
8.40277886390686,0.09030262705749033,1
8.43585991859436,0.08816307765783382,1
8.462886571884155,0.08229100163742352,1
8.516886949539185,0.0491165514164259,1
8.555420398712158,0.056594269109099,1
8.584192991256714,0.061749037640113066,1
8.611222267150879,0.06750701813452065,1
8.644132852554321,0.06722888494008059,1
8.671760320663452,0.06764629392999161,1
8.708018779754639,0.09659174756592864,1
8.738105773925781,0.09182556208788628,1
8.771629810333252,0.09746958541182063,1
8.80270791053772,0.102488707460661,1
8.837104797363281,0.23236727197612378,0
8.867671012878418,0.23847808145571914,0
8.916354894638062,0.24444260706622645,0
8.95388388633728,0.25226702718120064,0
8.989030361175537,0.2550056171632603,0
9.01892375946045,0.2431689286474312,0
9.050976276397705,0.25824403325343975,0
9.08281397819519,0.2579421746327903,0
9.114468812942505,0.2582098316860247,0
9.147386312484741,0.2681283044213607,0
9.178024768829346,0.2643686516510849,0
9.209062337875366,0.2552702849886342,0
9.241135835647583,0.26949080756459626,0
9.273741006851196,0.269678450917312,0
9.317473649978638,0.26484635543809326,0
9.352260112762451,0.26632778114113514,0
9.3847017288208,0.27094171681631557,0
9.416449785232544,0.2741114012211564,0
9.45101261138916,0.27861683852383035,0
9.484343528747559,0.28083230285694183,0
9.517136812210083,0.27557349370034867,0
9.549348831176758,0.2741526531422174,0
9.583236694335938,0.2634812469592946,0
9.614265203475952,0.2718163848486421,0
9.64695930480957,0.1914415361453844,1
9.679558038711548,0.1841034803438784,1
9.715754270553589,0.09436173605220372,1
9.747272968292236,0.09594382630970544,1
9.781517505645752,0.05984935965190542,1
9.81627368927002,0.07273067603996455,1
9.850331544876099,0.08230125035338809,1
9.882617473602295,0.08698559666728711,1
9.918213367462158,0.07523781267009874,1
9.952753782272339,0.07483833768108861,1
9.987847566604614,0.07759789887452091,1
10.022003173828125,0.07913858997030926,1
10.056281089782715,0.08816064694316503,1
10.088948965072632,0.08738185783919694,1
10.121527194976807,0.07944742308675513,1
10.15431809425354,0.07847408323000034,1
10.188276767730713,0.08376779123558264,1
10.221879005432129,0.0780316403049559,1
10.257407665252686,0.073844880290115,1
10.290177822113037,0.06831858965784535,1
10.323748350143433,0.07369448032662676,1
10.356329441070557,0.07254414058807879,1
10.387993812561035,0.09877679868239268,1
10.42010235786438,0.09679026428227372,1
10.453627347946167,0.07489013763896961,1
10.485292196273804,0.07677561341839673,1
10.516044616699219,0.07381174262488412,1
10.549668073654175,0.07839356188483959,1
10.581972360610962,0.09212364141825695,1
10.614557027816772,0.09380710889166122,1
10.647207498550415,0.25501925479922427,0
10.67991828918457,0.2583858495728696,0
10.711344242095947,0.26947982518317515,0
10.743391752243042,0.264479061332934,0
10.77497673034668,0.27240568358651673,0
10.807405471801758,0.2757919112132272,0
10.841178178787231,0.271489641319157,0
10.87327790260315,0.2740480184062699,0
10.915930986404419,0.25715250229928527,0
10.948265314102173,0.25557537383477447,0
10.98142123222351,0.25446129870721185,0
11.013346195220947,0.25867623088192937,0
11.047845125198364,0.2623631772091074,0
11.07994031906128,0.2690899762163145,0
11.113494873046875,0.26153522773252713,0
11.145578622817993,0.2653187608945059,0
11.178342819213867,0.2638787026989051,0
11.210309267044067,0.2693479818699921,0
11.245368242263794,0.2700289373874192,0
11.286915302276611,0.2710582876677968,0
11.324636697769165,0.2554231194380849,0
11.356445789337158,0.2560398850840948,0
11.389224767684937,0.2566323319456467,0
11.422163486480713,0.25826236982047535,0
